;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genre;themes;demographic;duration;rating;score;ranked;popularity;members;favorites;genres;platforms;synopsis;theme
10;Hajime no Ippo;https://myanimelist.net/anime/263/Hajime_no_Ippo;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;The First Step, Hajime no Ippo: The Fighting;はじめの一歩 THE FIGHTING!;TV;75;Finished Airing;Oct 4, 2000 to Mar 27, 2002;Fall 2000;Tuesdays at 00:50 (JST);['VAP'];Discotek Media, Geneon Entertainment USA;Madhouse;Manga;Sports;;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;8.75;#39;#370;527,373;19,310;;['Crunchyroll'];In his father's absence, teenager Ippo Makunouchi works hard to help his mother run her fishing boat rental business. Ippo's timid nature, his lack of sleep, and the sea smell make him an easy target for relentless bullies who leave him bruised and beaten on a daily basis. Mamoru Takamura, an up-and-coming boxer, rescues Ippo from a violent after-school incident and takes him back to the Kamogawa Boxing Gym for recovery. Takamura and his fellow boxers, Masaru Aoki and Tatsuya Kimura, are stunned by Ippo's powerful punches—a result of strong muscles developed through years serving his physically taxing family business.  Following brief training under Takamura, Ippo impresses the other boxers in a practice match against prodigy Ichirou Miyata. He gains a rival in Miyata and a coach in Genji Kamogawa, the gym owner and a former boxer himself. As Ippo takes the first steps in his official boxing career, he faces off against a series of challenging opponents, each more powerful than the last. Victory, loss, and a cycle of dedicated training await Ippo on his journey to achieve greatness. With his tough body and unstoppable fighting spirit, the kind young man seeks to take on the world.  [Written by MAL Rewrite];Combat Sports
11;SK∞;https://myanimelist.net/anime/42923/SK%E2%88%9E;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;SK Eight, Skate;SK∞ エスケーエイト;TV;12;Finished Airing;Jan 10, 2021 to Apr 4, 2021;Winter 2021;Sundays at 02:00 (JST);['Aniplex', 'Movic', 'ABC Animation'];Aniplex of America;Bones;Original;Sports;;;23 min. per ep.;PG-13 - Teens 13 or older;8.03;#533;#394;502,584;12,139;;['Crunchyroll', 'Funimation', '', '', ''];"High school student Reki Kyan is passionate about one thing: skateboarding. When night falls, he heads to ""S,"" an illegal underground race inside a mine where skaters compete in highly dangerous situations. After a loss that results in his skateboard being destroyed and his arm being broken, Reki is now incapable of practicing at all.  While working, Reki runs into his new classmate, Langa Hasegawa, a half-Canadian and half-Japanese boy with no skateboarding experience whatsoever. Langa is in desperate need of money. After they both visit ""S"" when tasked by Reki's boss, they get into trouble and are forced into a bet that requires Langa to skate in a race. However, the mysterious transfer student holds a trump card that Reki is unaware of, one which might help him win the race in the most unexpected way.  [Written by MAL Rewrite]";Racing
12;Megalo Box;https://myanimelist.net/anime/36563/Megalo_Box;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;メガロボクス;TV;13;Finished Airing;Apr 6, 2018 to Jun 29, 2018;Spring 2018;Fridays at 01:28 (JST);['TBS', 'Kodansha', 'Bandai Namco Arts', 'TMS Music'];VIZ Media;TMS Entertainment;Original;;;;24 min. per ep.;R - 17+ (violence & profanity);7.88;#761;#409;480,667;3,355;['Sci-Fi', 'Sports'];['Crunchyroll', 'Funimation', '', ''];"""To be quiet and do as you're told, that's the cowardly choice."" These are the words of Junk Dog, an underground fighter of Megalo Box, an evolution of boxing that utilizes mechanical limbs known as Gear to enhance the speed and power of its users. Despite the young man's brimming potential as a boxer, the illegal nature of his participation forces him to make a living off of throwing matches as dictated by his boss Gansaku Nanbu. However, this all changes when the Megalo Box champion Yuuri enters his shabby ring under the guise of just another challenger. Taken out in a single round, Junk Dog is left with a challenge: ""If you're serious about fighting me again, then fight your way up to me and my ring.""  Filled with overwhelming excitement and backed by the criminal syndicate responsible for his thrown matches, Junk Dog enters Megalonia: a world-spanning tournament that will decide the strongest Megalo Boxer of them all. Having no name of his own, he takes on the moniker of ""Joe"" as he begins his climb from the very bottom of the ranked list of fighters. With only three months left to qualify, Joe must face off against opponents the likes of which he has never fought in order to meet the challenge of his rival.  [Written by MAL Rewrite]";Combat Sports
13;Blue Lock;https://myanimelist.net/anime/49596/Blue_Lock;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;ブルーロック;TV;24;Currently Airing;Oct 9, 2022 to ?;Fall 2022;Sundays at 01:30 (JST);"['TV Asahi', 'Kodansha', ""Toy's Factory"", 'Crunchyroll', 'Bandai Spirits', 'Bit grooove promotion', 'Bandai Namco Filmworks', 'Bandai Namco Music Live']";None found, add some;8bit;Manga;Sports;;Shounen;24 min. per ep.;PG-13 - Teens 13 or older;8.30;#243;#451;440,560;6,560;;['Crunchyroll', 'Netflix', '', '', '', '', ''];Yoichi Isagi was mere moments away from scoring a goal that would have sent his high school soccer team to the nationals, but a split-second decision to pass the ball to his teammate cost him that reality. Bitter, confused, and disappointed, Isagi wonders if the outcome would have been different had he not made the pass. When the young striker returns home, an invitation from the Japan Football Union awaits him. Through an arbitrary and biased decision-making process, Isagi is one of three hundred U-18 strikers selected for a controversial project named Blue Lock.  The project's ultimate goal is to turn one of the selected players into the star striker for the Japanese national team. To find the best participant, each diamond in the rough must compete against others through a series of solo and team competitions to rise to the top. Putting aside his ethical objections to the project, Isagi feels compelled to fight his way to the top, even if it means ruthlessly crushing the dreams of 299 aspiring young strikers.  [Written by MAL Rewrite];Team Sports
14;Chihayafuru;https://myanimelist.net/anime/10800/Chihayafuru;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Chihayafull;ちはやふる;TV;25;Finished Airing;Oct 5, 2011 to Mar 28, 2012;Fall 2011;Wednesdays at Unknown;['VAP', 'Nippon Television Network'];Sentai Filmworks;Madhouse;Manga;;['Love Polygon', 'School', 'Strategy Game'];Josei;22 min. per ep.;PG-13 - Teens 13 or older;8.19;#363;#460;435,652;7,582;['Drama', 'Sports'];['Crunchyroll', 'HIDIVE', ''];As a child, Chihaya Ayase had only one dream: to see her elder sister Chitose become Japan's most successful model. However, upon defending her ostracised classmate Arata Wataya from his bully—Chihaya's childhood friend Taichi Mashima—she discovers the world of competitive karuta and soon becomes enamoured with the sport.  Based on the Ogura Hundred Poets anthology, this card game where poems are studied requires excellent memory, agility, and a tremendous endurance from the players. Full of hope, Chihaya joins the Shiranami Society together with the newly reconciled Arata and Taichi, embarking on an exciting journey for the title awarded to the top-ranked female player—Queen of Karuta.  Since middle school, Chihaya grew distant from a dispassionate Taichi and separated from Arata. However, in order to improve her skills, Chihaya decides to create a karuta club in her high school. With the help of Taichi, another veteran player, and a few spirited newcomers, Chihaya's new-founded Mizusawa Karuta Club aims for victory in the Omi Shrine's national championship.  [Written by MAL Rewrite];
15;Free! Eternal Summer;https://myanimelist.net/anime/22265/Free_Eternal_Summer;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Free! - Iwatobi Swim Club 2, Free! 2nd Season;Free!-Eternal Summer-;TV;13;Finished Airing;Jul 3, 2014 to Sep 25, 2014;Summer 2014;Thursdays at 00:00 (JST);['Lantis', 'Iwatobi High School Swimming Club', 'Asahi Broadcasting'];Funimation;Kyoto Animation, Animation Do;Original;Sports;;;23 min. per ep.;PG-13 - Teens 13 or older;7.63;#1320;#512;399,335;2,544;;['Crunchyroll'];"Even though it has been a year since the Iwatobi High School Swim Club has been created, new members have yet to join the club. Now that Haruka Nanase and Makoto Tachibana are senior students, along with their younger friends Nagisa Hazuki and Rei Ryuugazaki, they have to find a way to attract new members. If not, the club will be forced to close the following year due to a lack of membership.  Meanwhile, with impending graduation, it is also time for the seniors to decide their plans for the future. Unlike their friend Rin Matsuoka, the new captain of Samezuka Academy Swim Club who is determined to fulfill his dream of being a professional swimmer, Haruka and Makoto are unsure about what career path they want to take.  Further problems arise when an old friend of Rin's, Sousuke Yamazaki, comes to the city to study at Samezuka Academy; the recently scouted swimmer's arrival causes tension in the relationship among him, Rin, and Haruka.  [Written by MAL Rewrite]";School
16;Keijo!!!!!!!!;https://myanimelist.net/anime/32686/Keijo;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;競女!!!!!!!!;TV;12;Finished Airing;Oct 6, 2016 to Dec 22, 2016;Fall 2016;Thursdays at 23:30 (JST);['Sotsu', 'Lantis', 'Warner Bros. Japan', 'KlockWorx', 'Medicos Entertainment', 'Shogakukan', 'NichiNare', 'Radio Osaka'];Funimation;Xebec;Manga;;;Shounen;23 min. per ep.;PG-13 - Teens 13 or older;6.93;#4371;#535;381,939;1,395;['Sports', 'Ecchi'];['Crunchyroll', 'Funimation'];"Japan's latest competitive sport, keijo, is dictated by a simple set of rules: female-only participants must stand on circular platforms floating in a pool—referred to as ""lands""—with the goal being to knocking off opponents using only their breasts and butts. Despite this outlandish premise, the sport attracts millions of viewers across the country and boasts a lavish prize pool. Many aspiring athletes take up the challenge in hopes of becoming the next national champion.  After graduating from high school, the lively 17-year-old Nozomi Kaminashi enters the world of keijo, hoping to bring home a fortune to her poor family. As a gifted gymnast, Nozomi quickly proves herself a tough competitor after stealing the spotlight in her debut tournament. Meeting new friends and rivals as she climbs the ranks, Nozomi discovers that the path to stardom as a keijo player is filled with intense competition that will challenge not only her body, but also her soul.  [Written by MAL Rewrite]";Combat Sports
17;Baki;https://myanimelist.net/anime/34443/Baki;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;バキ;ONA;26;Finished Airing;Jun 25, 2018 to Dec 17, 2018;;;['None found', 'add some'];Sentai Filmworks;TMS Entertainment;Manga;Sports;['Combat Sports', 'Gore'];Shounen;24 min. per ep.;R - 17+ (violence & profanity);7.29;#2590;#564;368,326;2,313;;['Netflix'];After emerging victorious from a brutal underground tournament, Baki Hanma continues on his path to defeat his father, Yuujirou, the strongest man in the world. However, he gets no time to rest when the tournament runner, Tokugawa Mitsunari, visits him at school. He reveals to Baki that five incredibly dangerous death row inmates from around the world—all skilled in martial arts—have simultaneously escaped confinement and are heading to Tokyo, each wishing to finally know the taste of defeat. Tokugawa warns that, due to his well-known strength, Baki is bound to encounter them sooner or later, and he will not be their only target.  Adapting the first saga of the second manga series, Baki centers on the all-out war between the esteemed martial artists of Japan and those of the dark underground world.  [Written by MAL Rewrite];
18;Ping Pong the Animation;https://myanimelist.net/anime/22135/Ping_Pong_the_Animation;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;PPTA;ピンポン THE ANIMATION;TV;11;Finished Airing;Apr 11, 2014 to Jun 20, 2014;Spring 2014;Fridays at 00:50 (JST);['Aniplex', 'Dentsu', 'Fuji TV', 'Kyoraku Industrial Holdings'];Funimation;Tatsunoko Production;Manga;;;Seinen;23 min. per ep.;PG-13 - Teens 13 or older;8.62;#77;#567;365,595;14,859;['Award Winning', 'Drama', 'Sports'];['Crunchyroll', 'Funimation'];"Despite being polar opposites, Makoto ""Smile"" Tsukimoto and Yutaka ""Peco"" Hoshino have been best friends since childhood. Although the overly confident Peco strives to be the best ping-pong player in the world, he often skips practice, earning the ire of his fellow teammates on the Katase High School ping-pong team. Meanwhile, Smile—in spite of his innate talent for the sport—cannot help but hold back his full strength when playing against others. Through their mutual love for ping-pong, the two have developed a bond that is seemingly unbreakable.  When Peco hears that an ex-national team player from China is coming to Japan, he drags Smile over to rival Tsujido High School to observe them. The subsequent trip leads to a clash between Peco and Kong Wenge, who overwhelmingly defeats the former in one game. Stunned by such a comprehensive loss, Peco finds himself questioning why he plays to begin with. Seeing his potential as a player, Katase's coach begins to train Smile to overcome his hesitation, but he is reluctant to play if it is not for enjoyment.  As the two struggle to find meaning in the sport, a plethora of stronger players—each with their own internal strifes—await them at the inter-high tournament, where only the very best can persevere. But when these young athletes let their unbridled ambition go unchecked, the hardships they face paint a somber reality as they pursue glory.  [Written by MAL Rewrite]";
19;Ballroom e Youkoso;https://myanimelist.net/anime/34636/Ballroom_e_Youkoso;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;ボールルームへようこそ;TV;24;Finished Airing;Jul 9, 2017 to Dec 17, 2017;Summer 2017;Sundays at 02:08 (JST);"['Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Movic', 'Bandai Namco Games', ""Toy's Factory"", 'Animatic']";Ponycan USA;Production I.G;Manga;;['Performing Arts', 'School'];Shounen;24 min. per ep.;PG-13 - Teens 13 or older;8.19;#362;#694;310,524;3,354;['Comedy', 'Drama', 'Romance', 'Sports'];['Crunchyroll'];Tatara Fujita is a shy middle schooler who has no particular plan for the future. He has gotten through life by avoiding any kind of confrontation and blending in with the crowd. But blending in isn't enough to get out of trouble, as some bullies harass him for money. Luckily, he is saved by a man named Kaname Sengoku.  Kaname invites Tatara to his dance studio. Although he would normally never set foot in such a place, Tatara is captivated by Sengoku's commanding presence. Granted an opportunity to dance with fellow classmate Shizuku Hanaoka—who often practices at the studio—Tatara realizes there's something about the idea of being put in the limelight and dancing where people will see him that keeps him coming back. With an earnest, passionate drive to improve, Tatara begins his journey into the world of competitive dance.  [Written by MAL Rewrite];
