;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;duration;rating;score;ranked;popularity;members;favorites;demographic;platforms;synopsis;theme
10;High School DxD New;https://myanimelist.net/anime/15451/High_School_DxD_New;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;High School DxD Dai 2-ki, High School DxD 2nd Season, High School DxD Second Season, Highschool DxD 2;ハイスクールD×D NEW;TV;12;Finished Airing;Jul 7, 2013 to Sep 22, 2013;Summer 2013;Sundays at 20:30 (JST);['Genco', 'Lantis', 'Media Factory', 'Movic', 'AT-X', 'Showgate', 'Q-Tec', 'Fujimi Shobo'];Funimation;TNK;Light novel;['Action', 'Comedy', 'Romance', 'Ecchi'];['Harem', 'Mythology', 'School'];26 min. per ep.;R+ - Mild Nudity;7.48;#1806;#171;869,354;4,446;;['Netflix'];The misadventures of Issei Hyoudou, high school pervert and aspiring Harem King, continue on in High School DxD New. As the members of the Occult Research Club carry out their regular activities, it becomes increasingly obvious that there is something wrong with their Knight, the usually composed and alert Yuuto Kiba. Soon, Issei learns of Kiba's dark, bloody past and its connection to the mysterious Holy Swords. Once the subject of a cruel experiment, Kiba now seeks revenge on all those who wronged him.  With the return of an old enemy, as well as the appearance of two new, Holy Sword-wielding beauties, it isn't long before Issei and his Devil comrades are plunged into a twisted plot once more.  [Written by MAL Rewrite];
11;Trinity Seven;https://myanimelist.net/anime/25157/Trinity_Seven;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;トリニティセブン;TV;12;Finished Airing;Oct 8, 2014 to Dec 24, 2014;Fall 2014;Wednesdays at 01:40 (JST);['TV Tokyo', 'Sotsu', 'Kadokawa Shoten', 'AT-X', 'Studio Mausu', 'Avex Pictures', 'Q-Tec', 'Docomo Anime Store', 'DeNA'];Sentai Filmworks;Seven Arcs Pictures;Manga;['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi'];['Harem', 'School'];24 min. per ep.;PG-13 - Teens 13 or older;7.07;#3775;#201;796,912;3,720;Shounen;['Crunchyroll', 'HIDIVE'];"One day, the bright red sun stopped shining, causing the ""Breakdown Phenomenon""—the destruction of Arata Kasuga's town and the disappearance of the people inhabiting it. All, however, is not yet lost; by utilizing the magical grimoire given to him by his childhood friend and cousin Hijiri Kasuga, Arata's world gets artificially reconstructed.  In order to investigate the phenomenon, Lilith Asami appears before Arata, whose artificial world suddenly disintegrates. He is given two choices: hand over the book, or die. However, Arata chooses the third option—enrolling in the top-secret magic school Royal Biblia Academy, where six other magical users await him. Together with Lilith, these six form the Trinity Seven, the elite of the school who each bolster their own power and skill.  With the ambition to save Hijiri and the help of his newfound friends, Arata stops at nothing to prevent the destruction of his beloved hometown and to bring his best friend back.  [Written by MAL Rewrite]";
12;Zero no Tsukaima;https://myanimelist.net/anime/1195/Zero_no_Tsukaima;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Zero's Familiar;ゼロの使い魔;TV;13;Finished Airing;Jul 3, 2006 to Sep 25, 2006;Summer 2006;Mondays at 00:30 (JST);['Genco', 'Media Factory', 'Shochiku', 'Bushiroad', 'Happinet Pictures'];Sentai Filmworks, Geneon Entertainment USA;J.C.Staff;Light novel;['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi'];['Harem', 'Isekai', 'School'];23 min. per ep.;PG-13 - Teens 13 or older;7.24;#2844;#205;783,467;7,795;;['Crunchyroll', 'Netflix'];"Louise Françoise Le Blanc de La Vallière is a self-absorbed mage in a world of wands, cloaks, and royalty. Although she studies at Tristain Academy, a prestigious school for magicians, she has a major problem: Louise is unable to cast magic properly, earning her the nickname of ""Louise the Zero"" from her classmates.  When the first year students are required to perform a summoning ritual, Louise's summoning results in a catastrophic explosion! Everyone deems this to be yet another failure, but when the smoke clears, a boy named Saito Hiraga appears. Now Louise's familiar, Saito is treated as a slave, forced to clean her clothes and eat off the ground. But when an unfamiliar brand is found etched on Saito's hand from the summoning ritual, it is believed to be the mark of a powerful familiar named Gandalfr.  Wild, adventurous, and explosive, Zero no Tsukaima follows Saito as he comes to terms with his new life and as Louise proves that there is more to her than her nickname suggests.  [Written by MAL Rewrite]";
13;Boku wa Tomodachi ga Sukunai;https://myanimelist.net/anime/10719/Boku_wa_Tomodachi_ga_Sukunai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;I Don't Have Many Friends;僕は友達が少ない;TV;12;Finished Airing;Oct 7, 2011 to Dec 23, 2011;Fall 2011;Fridays at 01:55 (JST);['AIC', 'Media Factory', 'TBS', 'Bushiroad', 'Bandai Namco Games', 'Good Smile Company'];Funimation;AIC Build;Light novel;['Comedy', 'Romance', 'Ecchi'];['Harem', 'School'];24 min. per ep.;R+ - Mild Nudity;7.17;#3237;#211;777,260;3,728;;['Crunchyroll', 'Funimation', ''];When Kodaka Hasegawa finds out that he will be transferring to a new school, he is determined to make a positive impression, and maybe even some friends. However, Kodaka discovers he is out of luck when he immediately gets labeled as a violent delinquent due to his blond hair and intimidating expression. Although a month has passed, Kodaka is still alone thanks to his notorious reputation. However, his life begins to change when he finds fellow loner Yozora Mikazuki talking to her imaginary friend in an empty classroom.  After sharing stories of their lonely high school life, Kodaka and Yozora decide to overcome the difficulties of making friends together by starting the Neighbor's Club. Created for people who don't have friends, daily activities involve learning social skills and how to fit in, which will hopefully allow them to make friends. Joined by the eroge-loving Sena Kashiwazaki, and other eccentric outcasts, Kodaka may finally have managed to find people he can call friends, in this club filled with hilarious oddballs.  [Written by MAL Rewrite];
14;High School DxD BorN;https://myanimelist.net/anime/24703/High_School_DxD_BorN;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;High School DxD Third Season, High School DxD 3rd Season, Highschool DxD BorN;ハイスクールD×D BorN;TV;12;Finished Airing;Apr 4, 2015 to Jun 20, 2015;Spring 2015;Saturdays at 23:00 (JST);['Genco', 'Lantis', 'Movic', 'AT-X', 'Memory-Tech', 'Showgate', 'Fujimi Shobo', 'Kadokawa'];Funimation;TNK;Light novel;['Action', 'Comedy', 'Romance', 'Ecchi'];['Harem', 'Mythology', 'School'];24 min. per ep.;R+ - Mild Nudity;7.43;#1998;#225;760,078;3,837;;['Netflix'];The Red Dragon Emperor, Issei Hyoudou, and the Occult Research Club are back in action as summer break comes for the students of Kuoh Academy. After their fight with Issei’s sworn enemy, Vali and the Chaos Brigade, it is clear just how inexperienced Rias Gremory's team is. As a result, she and Azazel lead the club on an intense training regime in the Underworld to prepare them for the challenges that lie ahead.  While they slowly mature as a team, Issei will once again find himself in intimate situations with the girls of the Occult Research Club. Meanwhile, their adversaries grow stronger and more numerous as they rally their forces. And with the sudden appearance of Loki, the Evil God of Norse Mythology, the stage is set for epic fights and wickedly powerful devils in High School DxD BorN!  [Written by MAL Rewrite];
15;Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai;https://myanimelist.net/anime/29786/Shimoneta_to_Iu_Gainen_ga_Sonzai_Shinai_Taikutsu_na_Sekai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Shimoseka;下ネタという概念が存在しない退屈な世界;TV;12;Finished Airing;Jul 4, 2015 to Sep 19, 2015;Summer 2015;Saturdays at 23:00 (JST);['Frontier Works', 'Shogakukan-Shueisha Productions', 'Genco', 'Starchild Records', 'AT-X', 'KlockWorx'];Funimation;J.C.Staff;Light novel;['Comedy', 'Ecchi'];['Gag Humor', 'School'];23 min. per ep.;R+ - Mild Nudity;7.24;#2864;#226;758,799;3,742;;['Funimation', 'Netflix'];With the introduction of strict new morality laws, Japan has become a nation cleansed of all that is obscene and impure. By monitoring citizens using special devices worn around their necks, authorities have taken extreme measures to ensure that society remains chaste.  In this world of sexual suppression, Tanukichi Okuma—son of an infamous terrorist who opposed the chastity laws—has just entered high school, offering his help to the student council in order to get close to president Anna Nishikinomiya, his childhood friend and crush. Little does he know that the vice president Ayame Kajou has a secret identity: Blue Snow, a masked criminal dedicated to spreading lewd material amongst the sheltered public—and Tanukichi has caught the girl's interest due to his father's notoriety.  Soon, Tanukichi is dragged into joining her organization called SOX, where he is forced to spread obscene propaganda, helping to launch an assault against the government's oppressive rule. With their school set as the first point of attack, Tanukichi will have to do the unthinkable when he realizes that their primary target is the person he admires most.  [Written by MAL Rewrite];
16;Mushoku Tensei: Isekai Ittara Honki Dasu Part 2;https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;無職転生 ～異世界行ったら本気だす～ 第2クール;TV;12;Finished Airing;Oct 4, 2021 to Dec 20, 2021;Fall 2021;Mondays at 00:00 (JST);['Frontier Works', 'TOHO animation', 'Tokyo MX', 'Hakuhodo DY Music & Pictures', 'BS11', 'Egg Firm', 'Kadokawa', 'GREE Entertainment'];Funimation;Studio Bind;Light novel;['Drama', 'Fantasy', 'Ecchi'];['Isekai', 'Reincarnation'];23 min. per ep.;R - 17+ (violence & profanity);8.71;#46;#235;736,507;16,382;;['Crunchyroll'];"After the mysterious mana calamity, Rudeus Greyrat and his fierce student Eris Boreas Greyrat are teleported to the Demon Continent. There, they team up with their newfound companion Ruijerd Supardia—the former leader of the Superd's Warrior group—to form ""Dead End,"" a successful adventurer party. Making a name for themselves, the trio journeys across the continent to make their way back home to Fittoa.  Following the advice he received from the faceless god Hitogami, Rudeus saves Kishirika Kishirisu, the Great Emperor of the Demon World, who rewards him by granting him a strange power. Now, as Rudeus masters the powerful ability that offers a number of new opportunities, it might prove to be more than what he bargained for when unexpected dangers threaten to hinder their travels.  [Written by MAL Rewrite]";
17;Monster Musume no Iru Nichijou;https://myanimelist.net/anime/30307/Monster_Musume_no_Iru_Nichijou;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;MonMusu;モンスター娘のいる日常;TV;12;Finished Airing;Jul 8, 2015 to Sep 23, 2015;Summer 2015;Wednesdays at 00:30 (JST);['Genco', 'Studio Hibari', 'TOHO animation', 'Toho Music'];Sentai Filmworks;Lerche;Manga;['Comedy', 'Fantasy', 'Romance', 'Ecchi'];['Anthropomorphic', 'Harem'];23 min. per ep.;R+ - Mild Nudity;6.98;#4150;#243;710,968;3,833;Seinen;['HIDIVE'];"With his parents abroad, Kimihito Kurusu lived a quiet, unremarkable life alone until monster girls came crowding in! This alternate reality presents cutting-edge Japan, the first country to promote the integration of non-human species into society. After the incompetence of interspecies exchange coordinator Agent Smith leaves Kimihito as the homestay caretaker of a Lamia named Miia, the newly-minted ""Darling"" quickly attracts girls of various breeds, resulting in an ever-growing harem flush with eroticism and attraction.  Unfortunately for him and the ladies, sexual interactions between species is forbidden by the Interspecies Exchange Act! The only loophole is through an experimental marriage provision. Kimihito's life becomes fraught with an abundance of creature-specific caveats and sensitive interspecies law as the passionate, affectionate, and lusty women hound his every move, seeking his romantic and sexual affections. With new species often appearing and events materializing out of thin air, where Kimihito and his harem go is anyone's guess!  [Written by MAL Rewrite]";
18;Nisemonogatari;https://myanimelist.net/anime/11597/Nisemonogatari;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Impostory;偽物語;TV;11;Finished Airing;Jan 8, 2012 to Mar 18, 2012;Winter 2012;Sundays at 00:00 (JST);['Aniplex', 'Kodansha', 'Rakuonsha'];Aniplex of America;Shaft;Light novel;['Comedy', 'Mystery', 'Supernatural', 'Ecchi'];;25 min. per ep.;R - 17+ (violence & profanity);8.14;#407;#247;702,227;3,841;;['Crunchyroll', 'Funimation'];Surviving a vampire attack, meeting several girls plagued by supernatural entities, and just trying to get through life are some of the things high school student Koyomi Araragi has had to deal with lately. On top of all this, he wakes up one morning to find himself kidnapped and tied up by his girlfriend Hitagi Senjougahara. Having run afoul of Deishuu Kaiki, a swindler who conned Senjougahara's family, she has taken it upon herself to imprison Araragi to keep him safe from the con man. But when Araragi gets a frantic message from his sister Karen, he learns that the fraud has set his sights on her.  Along with Karen's troubles, his other sister, Tsukihi, is having issues of her own. And when two mysterious women who seem to know more than they should about Araragi and his special group of friends step into their lives, not even he could anticipate their true goals, nor the catastrophic truths soon to be revealed.  [Written by MAL Rewrite];
19;Eromanga-sensei;https://myanimelist.net/anime/32901/Eromanga-sensei;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;エロマンガ先生;TV;12;Finished Airing;Apr 9, 2017 to Jun 25, 2017;Spring 2017;Sundays at 00:30 (JST);['Aniplex', 'Movic', 'ASCII Media Works', 'BS11', 'Kinoshita Group Holdings'];Aniplex of America;A-1 Pictures;Light novel;['Comedy', 'Drama', 'Romance', 'Ecchi'];;23 min. per ep.;PG-13 - Teens 13 or older;6.37;#7443;#263;683,343;2,679;;['Crunchyroll', 'Funimation'];"One year ago, Sagiri Izumi became step-siblings with Masamune Izumi. But the sudden death of their parents tears their new family apart, resulting in Sagiri becoming a shut-in which cut her off from her brother and society.  While caring for what's left of his family, Masamune earns a living as a published light novel author with one small problem: he's never actually met his acclaimed illustrator, Eromanga-sensei, infamous for drawing the most lewd erotica. Through an embarrassing chain of events, he learns that his very own little sister was his partner the whole time!  As new characters and challenges appear, Masamune and Sagiri must now face the light novel industry together. Eromanga-Sensei follows the development of their relationship and their struggle to become successful; and as Sagiri slowly grows out of her shell, just how long will she be able to hide her true persona from the rest of the world?  [Written by MAL Rewrite]";
